 ,Australia,Brazil,Canada,Switzerland,Chile,China,Colombia,United Kingdom,Hong Kong SAR,Indonesia,India,Japan,Cambodia,Korea,Mexico,Malaysia,New Zealand,Peru,Philippines,Sweden,Singapore,Thailand,United States,Vietnam,Eurosystem,South Africa,Turkey
"Policy decision body, size and composition",Reserve Bank Board by consensus. [1],Monetary Policy Committee - Copom / 9 members / Governor and Deputy Governors of the BCB,"Governing Council, which consists of the Governor, the Senior Deputy Governor and four Deputy Governors",Governing Board,Board of Governors,PBC makes and implements monetary policy under the guidance of the State Council.,"The board of directors is composed by 5 board members, the Minister of Finance and the Governor of the Central Bank",Monetary Policy Committee,Financial Secretary determines monetary policy objective and structure of monetary system [2],"Board of Governors, consists of Governors, Senior Deputy Governors and 4 to 7 Deputy Governors",Monetary Policy Committee Chaired by the Governor comprising six members - three internal and three external members nominated by the Government.,Policy Board,The Monetary Policy Committee (MPC),Monetary Policy Board(MPB) [3],Governing Board; Four Deputy Governors and one Governor,"Monetary Policy Committee.
The Monetary Policy Committee shall consist of the Governor, the Deputy Governors and not less than three but not more than seven other members. [4]",Monetary Policy Committee [5],The Board of Directors is integrated by seven members. The Executive and the Legislative Branches each appoint three members to the Board. The Chairman (Governor) is designated by the Executive and ratified by the Permanent Commission of the Congress.,Monetary Board composed of seven (7) members as follows: the BSP Governor; a member of the Cabinet designated by the President of the Philippines; and five (5) members coming from the private sector,"Executive Board, 6 members",Monetary and Investment Policy Meeting (MIPM),Monetary Policy Committee,Federal Open Market Committee,"Department of Monetary Policy, in coordination with other units (Department of Forecasting and Statistics, Banking Supervision Agency, Legal Department, etc..) advises the Governor, Deputy Governor in charge about monetary policy decision making","Governing Council, which consists of the six members of the Executive Board, plus the governors of the national central banks of the 19 euro area countries. [6]","The Monetary Policy Committee (MPC) is an internal committee of the SARB. It currently consists of five members (the Governor, the three Deputy Governors and the Head of the Economic Research Department). It can accommodate up to seven members.",Monetary Policy Committee
Major mandates [7],"Contribute to price stability, full employment, and the economic prosperity and welfare of the Australian people (Reserve Bank Act). Implemented through achievement of inflation target (re-affirmed in joint statements between the Treasurer and the Governor).","In Feb 2021 legal operational independence was approved by Congress. Governor and Deputies have a four year mandate. The inflation target regime was established by an executive measure (3.088/99). Inflation target for each year is established by National Monetary Council (CMN) by June, three years before it is effective. CMN is formed by Minister of Economy (Chairman), Special Secretary of Budget and Treasury, and Governor of the Banco Central do Brasil.","As defined in the Bank of Canada Act, mandate is to ""promote the economic and financial welfare of Canada."" The inflation control target is jointly agreed with the government every 5 years. [8]","The Swiss National Bank conducts the country’s monetary policy as an independent central bank. It is obliged by the Constitution and by statute to act in accordance with the interests of the country as a whole. Its primary goal is to ensure price stability, while taking due account of economic developments. In doing so, it creates an appropriate environment for economic growth.",Price stability and systems of payments' normal operation. Both mandates established at a Constitutional level through the Central Bank law.,Maintain the stability of the value of the currency and thereby promote economic growth.,"To keep inflation low and stable and to achieve the highest sustainable level of output and employment. In doing so, monetary policy fulfills the constitutional mandate to maintain the purchasing power of the Colombian peso.","Maintain price stability within the United Kingdom and subject to that, to support the economic policy of His Majesty’s Government including its objectives for growth and employment.",Currency stability in accordance with Currency Board arrangements [9],"Bank Indonesia is mandated with creating and maintaining rupiah stability. That mandate is explicitly stipulated in Act No. 23 of 1999 concerning Bank Indonesia, as amended by Act No. 3 of 2004 and Act No. 6 of 2009 in Article 7. Rupiah stability encompasses two dimensions. First, rupiah stability is the price stability of goods and services, as reflected by inflation. The second dimension relates to rupiah exchange rate stability against other currencies. Indonesia implements a free-floating exchange rate regime and exchange rate stability is necessary to achieve and maintain price and financial system stability.","""the primary objective of the monetary policy is to maintain price stability while keeping in mind the objective of growth"" as stated in the Preamble to the amended Reserve Bank of India Act, 1934",Achievement of price stability,Maintain price stability in order to facilitate economic development within the framework of the kingdom's economic and financial policy [10],"(i) Price stability(BOK sets a price stabiltiy target in consultation with the government)
(ii) Financial stability [11]",Its primary objective mandated by law is to procure the stability of the purchasing power of the national currency through an inflation target. Secondary objectives include promoting the sound development of the financial system and fostering the proper functioning of the payment systems.,"As stated in the Central Bank of Malaysia Act 2009 (Act):
In promoting monetary stability, the Bank shall pursue a monetary policy which serves the interests of the country with the primary objective of maintaining price stability giving due regard to the developments in the economy.
The Monetary Policy Committee is responsible for formulating monetary policy and policies for the conduct of monetary policy operations.
In addition, the Act also states:
The monetary policy of the Bank shall be formulated and implemented autonomously by the Bank, without any external influence.
The monetary policy of the Bank shall be formulated only at a duly convened meeting of the Monetary Policy Committee.",Achieving and maintaining stability in the general level of prices over the medium term; and supporting maximum sustainable employment (Section 8 of the RBNZ Act). Minister of Finance provides a remit to the Monetary Policy Committee with operational objectives. [12],"As established by the Peruvian Political Constitution of Peru, the objective of the BCRP is to preserve monetary stability.",The primary objective of the BSP is to maintain price stability conducive to a balanced and sustainable growth of the economy and employment. [13],Maintain price stability,"Price stability for sustained economic growth

The principal objects of MAS are stated under clause 4(1) of the Monetary Authority of Singapore Act

MAS' monetary policy decisions and operations are carried out independently from the Government",A flexible inflation targeting framework to keep the inflation rate at an appropriate level while promoting full-potential economic growth and a stable financial system,"Statutory mandate from the Congress (outlined in the Federal Reserve Act) to promote maximum employment, stable prices, and moderate long-term interest rates. Many commonly refer to the “dual mandate” of maximum employment and price stability.","According to the Law on the State Bank of Vietnam of 2010, the State Bank of Vietnam is a ministerial-level agency of the Government and is the Central Bank of the Socialist Republic of Vietnam. The State Bank performs the function of State management over monetary, banking and foreign exchange activities; performs the function of a Central Bank in money issuance, the bank of credit institutions and provision of monetary services to the Government. The State Bank's activities aim to currency value stabilization; protection of the safety of banking operations and the system of credit institutions; protection of the safety and efficiency of the national payment system; contributing to promoting socialist-oriented socio-economic development [14]",Maintain price stability,"As per the Constitution of the Republic of South Africa, the primary object of the SARB is to protect the value of the currency in the interest of balanced and sustainable growth. The inflation target range (3-6%) is set jointly between National Treasury and SARB. The SARB performs its functions independently.","The primary objective of the Bank shall be to maintain price stability. The Bank shall determine on its own discretion the monetary policy that it shall implement and the monetary policy instruments that it is going to use in order to maintain price stability.
The Bank shall, provided that it shall not conflict with the objective of maintaining price stability, support the growth and employment policies of the Government."
Decision-making process,Consensus,Majority,Consensus,The Governing Board sets the monetary policy at its meetings (MPA), , ,Majority,Majority vote of MPC members,N/A,"The policymaking and decision-making processes at Bank Indonesia follow structured and systematic procedures and mechanisms to increase policy credibility, create a system of checks and balances as well as ensure risk mitigation (rulemaking rules).",Majority voting,Majority decision,The MPC decides on the policy options,"Various unofficial meetings of working-level staff of the various BOK departments concerned are held during the week before the main meeting, and a ‘trends briefing meeting’ is held the day before it. At this particular meeting, the various departments provide overall briefings on domestic and overseas financial and economic conditions to the Monetary Policy Board members, after which discussion among the members takes place. The main meeting usually starts at 9 a.m. the next day, and the Base Rate is decided and the statement on the ’Monetary Policy Decision’ is written during it. Meanwhile, the Monetary Policy Board applies a look-at-everything approach, taking into overall account domestic price movements, the economy, financial and foreign exchange market conditions, changes in the trend of the world economy, etc.","All decisions must be validated by approval of the majority of the members attending the meeting. If there is a tie, the Board member chairing the meeting has the casting vote. [15]","Monetary Policy Committee is a collegial decision-making body, whereby the decision-making process seeks consensus among the members.","Committee directed to seek consensus in decision making. If consensus cannot be reached, decisions will be determined by a simple majority vote (Governor has casting vote if required). [16]",Majority,"The decisions of the Monetary Board concerning monetary policy are determined by a majority vote. To strengthen the decision-making process, the Monetary Board of the BSP receives recommendations from the Advisory Committee. [17]",Decision by the Executive Board,Decision by the MIPM,Majority vote,Vote of FOMC members,"SBV's Management Board directs functional units to research and propose solutions in the monetary policy management process. At the same time, functional units actively give advice and proposals to the SBV's Management Board. [18]",Majority,"The MPC meets over a period of three days during each of their six scheduled meetings in the year. The first day is devoted to presentations by staff and discussions of those presentations. The presentations cover the following areas: global economic developments, domestic economic conjuncture, financial market developments and economic forecasts. The remaining two days are devoted to deliberations among the MPC members, decision on the repo stance and the announcement of the decision. The MPC does not publish minutes of their deliberations.",Majority Vote
Frequency / length of meetings,Monthly (except January),"ordinarlly, 8 times a year / 2 days per meeting",8 times a year,"Quarterly, extraordinary meetings possible",8 times a year, ,Monthly,"8 times a year, roughly 6–8 weeks apart",N/A,"The Board of Governors holds weekly and monthly meetings. The monthly Board of Governors meeting is convened at least once per month and, since 2016, has been held over two consecutive days in order to improve decision-making quality.


On the first day of the monthly Board of Governors meeting, the results of economic assessments as well as the outlook for monetary policy, financial system stability, the payment system and rupiah currency management are presented, discussed and integrated with the various policy mix options. On the second day, the recommendations are discussed, while the monetary and macroprudential policies are determined along with payment system and rupiah currency management policies.


The weekly Board of Governors meeting is held at least once per week to evaluate monetary policy implementation, financial system stability developments, payment system and rupiah currency management developments as well as to determine other principal and strategic policies in relation to task implementation at Bank Indonesia.",Bi-monthly,8 times a year,The MPC meets four times a year on a quarterly basis,8 times a year [19],"8 meetings per year, each one with a lenght of one day","6 times a year
The MPC shall also meet as and when required or convened by the Chairman.",7 times a year [20],Weekly,8 times a year,Five scheduled monetary policy meetings per year,Fortnightly,"6 times a year, 7-10 weeks apart",8 regularly scheduled meetings per year (and other meetings as needed),Not fixed,Usually twice a month,"Each meeting lasts three days and is conducted every two months, according to a calendar published once a year, though interim / emergency meetings can take place if circumstances require.",12 times a year
Frequency of announcements,Same,"ordinarilly, 8 times a year",Same,Same,Same, ,"8 times a year the Board of Directors make a decision on the monetary policy rate, at the beginning and end of each quarter (January, March, April, June, July, September, October, December).",Same,N/A,"The Board of Governors holds weekly and monthly meetings. The monthly Board of Governors meeting is convened at least once per month and, since 2016, has been held over two consecutive days in order to improve decision-making quality.


On the first day of the monthly Board of Governors meeting, the results of economic assessments as well as the outlook for monetary policy, financial system stability, the payment system and rupiah currency management are presented, discussed and integrated with the various policy mix options. On the second day, the recommendations are discussed, while the monetary and macroprudential policies are determined along with payment system and rupiah currency management policies, others policies including communication strategy.


The weekly Board of Governors meeting is held at least once per week to evaluate monetary policy implementation, financial system stability developments, payment system and rupiah currency management developments as well as to determine other principal and strategic policies in relation to task implementation at Bank Indonesia.",Bi-monthly,Same,Same frequency as the meeting,Same [21],8 times per year,After each MPC meeting,7 times a year [22],Monthly,8 times a year [23],Same,"2 times a year in April and October, for regular Monetary Policy Statement announcements.

There were two other off-cycle Monetary Policy Statement announcements in January and July 2022, given the upward shift in Singapore's inflation outlook.",Same,Same,Not fixed,Every six weeks,"The Governor will deliver a press statement on the afternoon of the third day, after each meeting.",Same
Main policy target,"Target range of 2–3% CPI inflation, on average, over time","Inflation target (annual IPCA): 4.0% (2020), 3.75% (2021), 3.5% (2022), 3.25% (2023), 3.0% (2024) and 3.0% (2025), with a tolerance interval of +/– 1.5%.","Policy target: Inflation control target of 2%, midpoint of a 1% to 3% target range, measured as year-over-year change in total CPI. Main policy tool: Target for the overnight rate.","SNB policy rate
(since 13 June 2019) [24]",Monetary Policy O/N Rate (MPR), ,"Policy target: Inflation target of 3% with a range between 2% and 4%, measured as year-over-year change in total CPI. Policy tool: Monetary policy rate (overnight), Market overnight rate (IBR) as close as possible to MPR",Bank Rate,Spot market exchange rate of around HKD 7.8 per USD,"Rupiah stability which encompassed in two dimensions, namely in Inflation and Exchange Rate.
Inflation target for 2022: 3Â±1%.
Exchange rate: No target rate, but maintaining stability.",CPI inflation target of 4 per cent with a band of +/– 2 per cent,"Policy target: 2 percent in terms of the year-on-year rate of change in the CPI
Policy tools: yield curve control, asset purchases, inflation-overshooting commitment, forward guidance",Inflation targeting: Inflation has been managed at low rate with an annual average of less than 5 percent.,Base rate [25],Overnight Interbank Funding Rate,Overnight policy rate (OPR),Official Cash Rate,Reference rate: Overnight Interbank Rate,Inflation [26],"Stable price level, inflation of 2 % [27]","Nominal effective exchange rate
Monetary policy statement",1-day bilateral repurchase rate,Fed funds rate target range; administered rates,"Manage monetary policy instruments in proactive and flexible manner to control inflation, stabilize the macro-economy and reasonably support economic growth.","Policy target: Price stability, defined as a year-on-year increase in the Harmonised Index of Consumer Prices (HICP) for the euro area of 2% (symmetric target) over the medium term.
ECB sets three key interest rates:
i) the interest rate on the main refinancing operations (MRO);
ii) the interet rate on the deposit facility (DFR), and
iii) the interest rate on the marginal lending facility (MLF);",The main goal is to keep the headline inflation rate (year-on-year change in the urban consumer price index) within the 3-6% target range. The SARB prefers to see inflation converge towards the midpoint of that target.,1-week repo rate
Key policy rate,Target cash rate,Selic Rate - Target overnight rate,Target overnight rate,SNB policy rate,Monetary Policy O/N Rate (MPR),Open Market Operations interest rate and Medium-term Lending Facility interest rate,Reference rate,Bank Rate,N/A,BI 7-Day Reverse Repo Rate,Repo rate,"(i) Interest rate applied to the Policy-Rate Balance in current account
(ii) JGB yields",MLFs [28],Base rate (RP and Reverse RP rate),Overnight Interbank Funding Rate (Monetary Policy Rate),Overnight Policy Rate (OPR),Official cash rate (OCR),Reference Rate,O/N RRP rate,Policy rate,SGD Nominal effective exchange rate,1-day repo,Federal Funds Rate,"Refinancing rate: 4.0 percent p.a
Rediscounting rate: 2.5 percent p.a
Overnight rate for the inter-bank electronic payments, and the interest rate of loans to finance short-term balances in the clearing transactions between the SBV and the commercial banks: 5 percent p.a [29]","In the current environemment of high excess liquidity, the short term market interest rates are effectively steered by DFR.",repo rate,% 9
* maturity (days),1 day,1,1,1 day; to next scheduled or extraordinary MPA,1 (overnight), ,1,1,N/A,7, ,"(i) 1 day
(ii) 10 years",1 ; renew 5 times only,7,One day (overnight),O/N,1,1,1,1,spot,1,1, ,o/n, ,7 days
Operating target,Unsecured interbank cash rate,Selic rate - overnight rate,Collateralised overnight transactions,Secured short-term Swiss franc money market rates,Uncollateralized overnight interbank rate (TIB),Excess Reserve and short term interest rate,Interbank overnight non-collateralized rate,Short-term money market interest rates,Market exchange rate of HKD/USD,Unsecured overnight interbank market rate,Weighted average call money rate,"(i) Interest rate applied to the Policy-Rate Balance in current account,
(ii) JGB yield",LPCO,O/N call rate,Overnight Interbank Rate (secured) - repo rate,Average O/N interbank rate,O/N cash rate,Uncollateralized overnight interbank rate,No formal target,Stabilize short term market rates near the Policy rate.,SGD Nominal effective exchange rate,1-day repo,(i) Target range for federal funds rate,No,Short term interest rates (not explicit), , 
* maturity (days),1 day,1,1,"1 day, as SARON is the most representative of the secured short-term Swiss franc money market rates today.",1 (overnight), ,1, ,Spot,1,1 (overnight),"(i) 1 day
(ii) 10 years","91day, 182days, 364days",1,One day (overnight),O/N,1,1, ,Overnight,spot,1,1, , , , 
